id,subject,score_type,grade,student_id,semester_id
3,VAN,TX,4.0,3581635862,20241
4,VAN,TX,8.0,3581635861,20241
5,VAN,TX,7.0,0181635895,20241
6,VAN,TX,7.0,3581635894,20242
7,VAN,TX,7.0,3581635894,20242
10,VAN,TX,5.0,3581635862,20242
13,VAN,TX,1.5,3581635904,20241
14,VAN,TX,1.5,3581635904,20241
15,VAN,TX,1.5,3581635904,20241
16,VAN,TX,2.0,3581635894,20241
17,VAN,TX,3.0,3581635894,20241
18,VAN,TX,3.0,3581635861,20241
19,VAN,TX,3.0,3581635861,20241
20,VAN,TX,4.0,0181635895,20241
21,VAN,TX,4.0,0181635895,20241
22,VAN,TX,4.0,0181635895,20241
23,VAN,TX,4.0,0181635895,20241
24,VAN,TX,5.0,3581635862,20241
25,VAN,TX,5.0,3581635862,20241
26,VAN,TX,5.0,3581635862,20241
27,VAN,TX,5.0,3581635862,20241
28,VAN,TX,5.0,3581635862,20241
29,VAN,TX,5.0,3581635862,20241
30,VAN,TX,6.0,0181635895,20241
31,VAN,TX,6.0,0181635895,20241
32,VAN,TX,6.0,0181635895,20241
33,VAN,TX,6.0,0181635895,20241
34,VAN,TX,6.0,0181635895,20241
35,VAN,TX,7.0,3581635862,20241
36,VAN,TX,7.0,3581635862,20241
37,VAN,TX,7.0,3581635862,20241
38,VAN,TX,7.0,3581635862,20241
39,VAN,TX,8.0,0181635895,20241
40,VAN,TX,8.0,0181635895,20241
41,VAN,TX,8.0,0181635895,20241
42,VAN,TX,9.0,3581635861,20241
43,VAN,TX,9.0,0181635895,20241
44,VAN,TX,10.0,0181635895,20241
48,VAN,TX,1.5,3581635904,20241
49,VAN,TX,2.5,3581635894,20241
50,VAN,TX,2.5,3581635894,20241
51,VAN,TX,2.5,3581635894,20241
52,VAN,TX,2.5,3581635894,20241
53,VAN,TX,3.5,3581635894,20241
54,VAN,TX,3.5,3581635894,20241
55,VAN,TX,3.5,3581635894,20241
56,VAN,TX,4.5,3581635894,20241
57,VAN,TX,4.5,3581635894,20241
58,VAN,TX,4.5,3581635894,20241
59,VAN,TX,4.5,3581635894,20241
60,VAN,TX,5.5,3581635894,20241
61,VAN,TX,5.5,3581635894,20241
62,VAN,TX,5.5,3581635894,20241
63,VAN,TX,5.5,3581635894,20241
64,VAN,TX,5.5,3581635894,20241
65,VAN,TX,6.5,3581635894,20241
66,VAN,TX,6.5,3581635894,20241
67,VAN,TX,6.5,3581635894,20241
68,VAN,TX,6.5,3581635894,20241
69,VAN,TX,7.5,3581635894,20241
70,VAN,TX,7.5,3581635894,20241
71,VAN,TX,7.5,3581635894,20241
72,VAN,TX,8.5,3581635894,20241
73,VAN,TX,8.5,3581635894,20241
74,VAN,TX,8.5,3581635894,20241
75,VAN,TX,9.5,3581635894,20241
76,VAN,TX,8.5,3581635894,20241
80,VAN,TX,2.0,3581635904,20242
81,VAN,TX,2.0,3581635904,20242
82,VAN,TX,3.0,3581635904,20242
83,VAN,TX,3.0,3581635904,20242
84,VAN,TX,4.0,3581635894,20242
85,VAN,TX,4.0,3581635894,20242
86,VAN,TX,4.0,3581635894,20242
87,VAN,TX,4.0,3581635894,20242
88,VAN,TX,4.0,3581635894,20242
89,VAN,TX,4.0,3581635894,20242
90,VAN,TX,5.0,3581635861,20242
91,VAN,TX,5.0,3581635861,20242
92,VAN,TX,6.0,0181635895,20242
93,VAN,TX,6.0,0181635895,20242
94,VAN,TX,7.0,3581635862,20242
95,VAN,TX,7.0,3581635862,20242
96,VAN,TX,7.0,3581635862,20242
97,VAN,TX,7.0,3581635862,20242
98,VAN,TX,8.0,3581635862,20242
99,VAN,TX,8.0,3581635862,20242
100,VAN,TX,8.0,3581635862,20242
101,VAN,TX,9.0,3581635862,20242
102,VAN,TX,9.0,3581635862,20242
103,VAN,TX,10.0,3581635862,20242
109,VAN,TX,3.5,3581635904,20242
110,VAN,TX,3.5,3581635904,20242
111,VAN,TX,4.5,3581635894,20242
112,VAN,TX,4.5,3581635861,20242
113,VAN,TX,4.5,3581635861,20242
114,VAN,TX,4.5,3581635861,20242
115,VAN,TX,5.5,0181635895,20242
116,VAN,TX,5.5,0181635895,20242
117,VAN,TX,6.5,0181635895,20242
118,VAN,TX,6.5,0181635895,20242
119,VAN,TX,9.0,3581635862,20242
120,VAN,TX,0.0,3581635904,20242
121,VAN,TX,0.0,3581635904,20242
122,TOAN,TX,5.0,3581635861,20242
123,TOAN,TX,2.0,3581635861,20242
124,TOAN,TX,5.0,3581635894,20242
125,TOAN,TX,10.0,0181635895,20242
126,TOAN,TX,8.0,0181635895,20242
127,TOAN,TX,9.0,0181635895,20242
128,TOAN,TX,9.0,0181635895,20242
129,TOAN,GK,8.0,0181635895,20242
130,TOAN,CK,8.0,0181635895,20242
